row_name,N,ratio,strategy
1,10,1.0548,CKPTEACHTASK
2,10,1.1251,CKPTEACHTASK
3,10,1.0033,CKPTEACHTASK
4,10,1.0035,CKPTEACHTASK
5,10,1.0173,CKPTEACHTASK
6,10,1.0855,CKPTEACHTASK
7,10,1.0235,CKPTEACHTASK
8,10,1.0376,CKPTEACHTASK
9,10,1.0548,CKPTEACHTASK
10,10,1.0596,CKPTEACHTASK
11,10,1.0624,CKPTEACHTASK
12,10,1.0035,CKPTEACHTASK
13,10,1.0167,CKPTEACHTASK
14,10,1.0355,CKPTEACHTASK
15,10,1.0426,CKPTEACHTASK
16,10,1.0197,CKPTEACHTASK
17,10,1.0284,CKPTEACHTASK
18,10,1.0339,CKPTEACHTASK
19,10,1.0438,CKPTEACHTASK
20,10,1.0539,CKPTEACHTASK
21,10,1.0192,CKPTEACHTASK
22,10,1.0033,CKPTEACHTASK
23,10,1.0133,CKPTEACHTASK
24,10,1.022,CKPTEACHTASK
25,10,1.0035,CKPTEACHTASK
26,10,1.0559,CKPTEACHTASK
27,10,1.0005,CKPTEACHTASK
28,10,1.0307,CKPTEACHTASK
29,10,1.0094,CKPTEACHTASK
30,10,1.0085,CKPTEACHTASK
31,10,1.0281,CKPTEACHTASK
32,10,1.0034,CKPTEACHTASK
33,10,1.0097,CKPTEACHTASK
34,10,1.0862,CKPTEACHTASK
35,10,1.0478,CKPTEACHTASK
36,10,1.0036,CKPTEACHTASK
37,10,1.0718,CKPTEACHTASK
38,10,1.0372,CKPTEACHTASK
39,10,1.0854,CKPTEACHTASK
40,10,1.0099,CKPTEACHTASK
41,10,1.0769,CKPTEACHTASK
42,10,1.0233,CKPTEACHTASK
43,10,1.0132,CKPTEACHTASK
44,10,1.0451,CKPTEACHTASK
45,10,1.0359,CKPTEACHTASK
46,10,1.0086,CKPTEACHTASK
47,10,1.0103,CKPTEACHTASK
48,10,1.0233,CKPTEACHTASK
49,10,1.0725,CKPTEACHTASK
50,10,1.0658,CKPTEACHTASK
51,10,1.022,CKPTEACHTASK
52,10,1.0845,CKPTEACHTASK
53,10,1.0135,CKPTEACHTASK
54,10,1.005,CKPTEACHTASK
55,10,1.0035,CKPTEACHTASK
56,10,1.0131,CKPTEACHTASK
57,10,0.93197,CKPTEACHTASK
58,10,1.0496,CKPTEACHTASK
59,10,1.0513,CKPTEACHTASK
60,10,1.0169,CKPTEACHTASK
61,10,0.92868,CKPTEACHTASK
62,10,1.002,CKPTEACHTASK
63,10,1.0174,CKPTEACHTASK
64,10,1.0073,CKPTEACHTASK
65,10,1.0832,CKPTEACHTASK
66,10,1.0294,CKPTEACHTASK
67,10,1.0331,CKPTEACHTASK
68,10,0.92364,CKPTEACHTASK
69,10,1.092,CKPTEACHTASK
70,10,1.0616,CKPTEACHTASK
71,10,1.0355,CKPTEACHTASK
72,10,1.0272,CKPTEACHTASK
73,10,0.98039,CKPTEACHTASK
74,10,1.058,CKPTEACHTASK
75,10,1.0287,CKPTEACHTASK
76,10,1.0349,CKPTEACHTASK
77,10,1.1005,CKPTEACHTASK
78,10,1.0527,CKPTEACHTASK
79,10,1.0199,CKPTEACHTASK
80,10,1.0482,CKPTEACHTASK
81,10,1.0187,CKPTEACHTASK
82,10,1.068,CKPTEACHTASK
83,10,0.97463,CKPTEACHTASK
84,10,1.1975,CKPTEACHTASK
85,10,1.0196,CKPTEACHTASK
86,10,1.0246,CKPTEACHTASK
87,10,1.0807,CKPTEACHTASK
88,10,1.0035,CKPTEACHTASK
89,10,1.0401,CKPTEACHTASK
90,10,1.0546,CKPTEACHTASK
91,10,1.0117,CKPTEACHTASK
92,10,1.039,CKPTEACHTASK
93,10,1.0191,CKPTEACHTASK
94,10,1.033,CKPTEACHTASK
95,10,1.0414,CKPTEACHTASK
96,10,1.1292,CKPTEACHTASK
97,10,1.0227,CKPTEACHTASK
98,10,1.0035,CKPTEACHTASK
99,10,1.0268,CKPTEACHTASK
100,10,1.041,CKPTEACHTASK
101,10,1.0676,CKPTYDPER
102,10,1.1719,CKPTYDPER
103,10,1.1076,CKPTYDPER
104,10,1.1162,CKPTYDPER
105,10,1.1129,CKPTYDPER
106,10,1.2154,CKPTYDPER
107,10,1.2045,CKPTYDPER
108,10,1.1432,CKPTYDPER
109,10,1.0676,CKPTYDPER
110,10,1.3351,CKPTYDPER
111,10,1.0802,CKPTYDPER
112,10,1.1159,CKPTYDPER
113,10,1.2778,CKPTYDPER
114,10,1.0192,CKPTYDPER
115,10,1.2455,CKPTYDPER
116,10,1.1987,CKPTYDPER
117,10,1.1075,CKPTYDPER
118,10,1.4524,CKPTYDPER
119,10,1.1165,CKPTYDPER
120,10,1.0987,CKPTYDPER
121,10,1.1279,CKPTYDPER
122,10,1.217,CKPTYDPER
123,10,1.3371,CKPTYDPER
124,10,1.1898,CKPTYDPER
125,10,1.2032,CKPTYDPER
126,10,1.1764,CKPTYDPER
127,10,1.167,CKPTYDPER
128,10,1.1218,CKPTYDPER
129,10,1.3271,CKPTYDPER
130,10,1.1134,CKPTYDPER
131,10,1.3409,CKPTYDPER
132,10,1.1122,CKPTYDPER
133,10,1.2582,CKPTYDPER
134,10,1.0969,CKPTYDPER
135,10,1.2397,CKPTYDPER
136,10,1.132,CKPTYDPER
137,10,1.3209,CKPTYDPER
138,10,1.1157,CKPTYDPER
139,10,1.2362,CKPTYDPER
140,10,1.2702,CKPTYDPER
141,10,1.2854,CKPTYDPER
142,10,1.4752,CKPTYDPER
143,10,1.2828,CKPTYDPER
144,10,1.1187,CKPTYDPER
145,10,1.1639,CKPTYDPER
146,10,1.0249,CKPTYDPER
147,10,1.3091,CKPTYDPER
148,10,1.2779,CKPTYDPER
149,10,1.0764,CKPTYDPER
150,10,1.1174,CKPTYDPER
151,10,1.3233,CKPTYDPER
152,10,1.3774,CKPTYDPER
153,10,1.1114,CKPTYDPER
154,10,1.3269,CKPTYDPER
155,10,1.1843,CKPTYDPER
156,10,1.2994,CKPTYDPER
157,10,1.1088,CKPTYDPER
158,10,1.1209,CKPTYDPER
159,10,1.162,CKPTYDPER
160,10,1.2871,CKPTYDPER
161,10,1.1647,CKPTYDPER
162,10,1.1604,CKPTYDPER
163,10,1.2017,CKPTYDPER
164,10,1.0711,CKPTYDPER
165,10,1.2458,CKPTYDPER
166,10,1.1195,CKPTYDPER
167,10,1.1124,CKPTYDPER
168,10,1.1001,CKPTYDPER
169,10,1.1692,CKPTYDPER
170,10,1.1153,CKPTYDPER
171,10,1.1728,CKPTYDPER
172,10,1.1763,CKPTYDPER
173,10,1.4847,CKPTYDPER
174,10,1.3477,CKPTYDPER
175,10,1.0931,CKPTYDPER
176,10,1.1822,CKPTYDPER
177,10,1.1106,CKPTYDPER
178,10,1.2133,CKPTYDPER
179,10,1.1259,CKPTYDPER
180,10,1.4283,CKPTYDPER
181,10,1.2692,CKPTYDPER
182,10,1.2257,CKPTYDPER
183,10,1.2611,CKPTYDPER
184,10,1.2219,CKPTYDPER
185,10,1.0233,CKPTYDPER
186,10,1.1144,CKPTYDPER
187,10,1.4143,CKPTYDPER
188,10,1.2495,CKPTYDPER
189,10,1.2525,CKPTYDPER
190,10,1.2131,CKPTYDPER
191,10,1.2828,CKPTYDPER
192,10,1.1137,CKPTYDPER
193,10,1.1556,CKPTYDPER
194,10,1.2993,CKPTYDPER
195,10,1.2965,CKPTYDPER
196,10,1.4947,CKPTYDPER
197,10,1.1863,CKPTYDPER
198,10,1.2005,CKPTYDPER
199,10,1.1915,CKPTYDPER
200,10,1.1239,CKPTYDPER
201,10,0.99077,CKPTEACHITER
202,10,1.1745,CKPTEACHITER
203,10,1.0251,CKPTEACHITER
204,10,1.0271,CKPTEACHITER
205,10,1.0263,CKPTEACHITER
206,10,1.1111,CKPTEACHITER
207,10,1.1139,CKPTEACHITER
208,10,1.0248,CKPTEACHITER
209,10,0.99077,CKPTEACHITER
210,10,1.1614,CKPTEACHITER
211,10,1.0817,CKPTEACHITER
212,10,1.027,CKPTEACHITER
213,10,1.1952,CKPTEACHITER
214,10,1.0235,CKPTEACHITER
215,10,1.2462,CKPTEACHITER
216,10,1.026,CKPTEACHITER
217,10,1.0228,CKPTEACHITER
218,10,1.0941,CKPTEACHITER
219,10,1.1179,CKPTEACHITER
220,10,1.0221,CKPTEACHITER
221,10,1.0253,CKPTEACHITER
222,10,1.2177,CKPTEACHITER
223,10,1.1705,CKPTEACHITER
224,10,1.0899,CKPTEACHITER
225,10,1.0268,CKPTEACHITER
226,10,1.081,CKPTEACHITER
227,10,1.0716,CKPTEACHITER
228,10,1.0284,CKPTEACHITER
229,10,1.2452,CKPTEACHITER
230,10,1.026,CKPTEACHITER
231,10,1.2124,CKPTEACHITER
232,10,1.1135,CKPTEACHITER
233,10,1.1663,CKPTEACHITER
234,10,1.099,CKPTEACHITER
235,10,1.2411,CKPTEACHITER
236,10,1.0276,CKPTEACHITER
237,10,1.2245,CKPTEACHITER
238,10,1.1201,CKPTEACHITER
239,10,1.237,CKPTEACHITER
240,10,1.0721,CKPTEACHITER
241,10,1.1014,CKPTEACHITER
242,10,1.2742,CKPTEACHITER
243,10,1.199,CKPTEACHITER
244,10,1.1213,CKPTEACHITER
245,10,1.0275,CKPTEACHITER
246,10,1.0262,CKPTEACHITER
